date,宿泊売上,現金入金,現金支払,銀行入金,銀行出金,予約件数,仕訳件数
2026-07-01,0.0,0.0,0.0,0.0,0.0,4,0
2026-07-02,0.0,0.0,0.0,0.0,0.0,2,0
2026-07-03,0.0,0.0,0.0,0.0,0.0,3,0
2026-07-04,0.0,0.0,0.0,0.0,0.0,5,0
2026-07-05,0.0,0.0,0.0,0.0,0.0,2,0
2026-07-06,0.0,0.0,0.0,0.0,0.0,6,0
2026-07-07,0.0,0.0,0.0,0.0,0.0,2,0
2026-07-08,0.0,0.0,0.0,0.0,0.0,5,0
2026-07-09,0.0,0.0,0.0,0.0,0.0,1,0
2026-07-10,0.0,0.0,0.0,0.0,0.0,4,0
2026-07-11,0.0,0.0,0.0,0.0,0.0,6,0
2026-07-12,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-13,0.0,0.0,0.0,0.0,0.0,4,0
2026-07-14,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-15,0.0,0.0,0.0,0.0,0.0,1,0
2026-07-16,0.0,0.0,0.0,0.0,0.0,1,0
2026-07-17,0.0,0.0,0.0,0.0,0.0,2,0
2026-07-18,0.0,0.0,0.0,0.0,0.0,13,0
2026-07-19,0.0,0.0,0.0,0.0,0.0,8,0
2026-07-20,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-21,0.0,0.0,0.0,0.0,0.0,1,0
2026-07-22,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-23,0.0,0.0,0.0,0.0,0.0,2,0
2026-07-24,0.0,0.0,0.0,0.0,0.0,1,0
2026-07-25,0.0,0.0,0.0,0.0,0.0,2,0
2026-07-26,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-27,0.0,0.0,0.0,0.0,0.0,1,0
2026-07-28,0.0,0.0,0.0,0.0,0.0,0,0
2026-07-29,0.0,0.0,0.0,0.0,0.0,1,0
2026-07-30,0.0,0.0,0.0,0.0,0.0,1,0
2026-07-31,0.0,0.0,0.0,0.0,0.0,1,1
